,country_code,normalized_job_code,rural,uuid
55,AT,122f24bc911a79c26ca66210557dda07,Rural,c5471020-dad1-0133-487e-0a81e8b09a82
56,AT,36675c937946c8a4fc5de7d0b4c850de,Urban,18a1c2e0-d8ed-0133-39aa-0a81e8b09a82
57,AT,19e384e977796c25780d8c28b12089c4,Urban,baa9e380-da6a-0133-0cb9-0a81e8b09a82
58,AT,76b0ba6af40991629e20dff36edd02a5,Urban,b189d930-dd84-0133-d6b4-0a81e8b09a82
59,AT,07b7555fa790debaf5b04d1409ad5f11,Urban,3174f780-d9f2-0133-2fe7-0a81e8b09a82
60,AT,76385cb24e831b3364279b9de5641d8f,Urban,93241690-da78-0133-8088-0a81e8b09a82
61,AT,775190277a849cba701b306a7b374c0a,Urban,b8d60b60-d9f1-0133-2f47-0a81e8b09a82
62,AT,970eb38c7b3eb080466052ea994af189,Rural,106af710-d93c-0133-bebf-0a81e8b09a82
63,AT,477b53ef09d37f098d5ed74f47fcbaec,Rural,0b5eea70-dcdd-0133-3f72-0a81e8b09a82
64,AT,cc2b26cc436bea36bda3bdd7367c411a,Rural,ca9ed810-dcb8-0133-8981-0a81e8b09a82
65,AT,2ca138b991c50dc6696238e5ad800142,Rural,1aa394e0-de0f-0133-f6e2-0a81e8b09a82
66,AT,cf2d4db3c258faa2499bdeeeed6721a5,Rural,5a5158c0-d9b3-0133-1b13-0a81e8b09a82
67,AT,a003702c0cea282e17967772dd83de5e,Rural,b98bbaf0-d96e-0133-06ef-0a81e8b09a82
68,AT,dac2e921c1f887d9efc4c06fa33c1397,Urban,aea66f50-da5c-0133-132d-0a81e8b09a82
69,AT,90c5430dbc810aec8695af2f1f4c42e8,Urban,f8f95970-da28-0133-75d2-0a81e8b09a82
70,AT,7bb15eefb19ed09c59349baad7e8469e,Urban,f8fca690-de54-0133-23b6-0a81e8b09a82
71,AT,ec3d88b2fd083b870b8c5a603898ed39,Rural,a96ac600-da2f-0133-a7cd-0a81e8b09a82
72,AT,1f8576bdffa64f492405d02b842c41a6,Urban,5586f290-d972-0133-f6e5-0a81e8b09a82
73,AT,07b7555fa790debaf5b04d1409ad5f11,Urban,cd77ebc0-de28-0133-657e-0a81e8b09a82
74,BE,edc64316da9707432443c7a4461abe6c,Urban,73771070-d8ec-0133-ae53-0a81e8b09a82
75,BE,847165cfda6b1dc82ae22b967da8af2f,Rural,3aa979b0-d93d-0133-c00b-0a81e8b09a82
76,BE,5e93fd1a58c8a67b295f69d87d1a940d,Urban,11c6e300-deb8-0133-5b60-0a81e8b09a82
77,BE,6cf4d336112984368f83181ac5ffe948,Rural,ed7e4bd0-d987-0133-3f9e-0a81e8b09a82
78,BE,e2f68bf748aea2c7d2254550c0c92b23,Rural,b5d05310-db4b-0133-8b2f-0a81e8b09a82
